miRNA,SRR1273998,SRR1273999,SRR1274000,SRR1274001
Hsa-Mir-135-P1_5p chr3 segs:1-31 cds:-:52294264-52294294,0.0,0.0,0.0,0.0
Hsa-Mir-135-P1_5p/P2_5p,0.0,3.0,0.0,0.0
Hsa-Mir-135-P2_3p* chr12 segs:1-30 cds:+:97563870-97563899,0.0,0.0,0.0,0.0
Hsa-Mir-135-P2_5p chr12 segs:1-31 cds:+:97563832-97563862,0.0,0.0,0.0,0.0
Hsa-Mir-135-P3_3p* chr1 segs:1-30 cds:-:205448317-205448346,0.0,0.0,0.0,0.0
Hsa-Mir-135-P3_5p,6.0,8.0,6.0,0.0
Hsa-Mir-135-P3_5p chr1 segs:1-31 cds:-:205448355-205448385,0.0,0.0,0.0,0.0
Hsa-Mir-136-v1_3p chr14 segs:1-30 cds:+:100884748-100884777,0.0,0.0,0.0,0.0
Hsa-Mir-136-v1_5p* chr14 segs:1-31 cds:+:100884714-100884744,0.0,0.0,0.0,0.0
Hsa-Mir-136-v2_3p chr14 segs:1-29 cds:+:100884749-100884777,0.0,0.0,0.0,0.0
Hsa-Mir-136-v2_5p* chr14 segs:1-30 cds:+:100884714-100884743,0.0,0.0,0.0,0.0
Hsa-Mir-136_3p,885.0,995.0,631.0,608.0
Hsa-Mir-136_5p*,150.0,258.0,112.0,141.0
Hsa-Mir-137-P1-v1_3p chr1 segs:1-31 cds:-:98046085-98046115,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1-v1_5p* chr1 segs:1-32 cds:-:98046120-98046151,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1-v2_3p chr1 segs:1-31 cds:-:98046084-98046114,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1-v2_5p* chr1 segs:1-31 cds:-:98046121-98046151,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1_3p,0.0,0.0,0.0,0.0
Hsa-Mir-137-P1_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-138-P1_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-138-P1_3p* chr3 segs:1-29 cds:+:44114272-44114300,0.0,0.0,0.0,0.0
Hsa-Mir-138-P1_5p chr3 segs:1-31 cds:+:44114232-44114262,0.0,0.0,0.0,0.0
Hsa-Mir-138-P1_5p/P2_5p,50.0,10.0,21.0,11.0
Hsa-Mir-138-P2_3p* chr16 segs:1-30 cds:+:56858572-56858601,0.0,0.0,0.0,0.0
Hsa-Mir-138-P2_5p chr16 segs:1-31 cds:+:56858525-56858555,0.0,0.0,0.0,0.0
Hsa-Mir-139_3p,33.0,22.0,40.0,18.0
Hsa-Mir-139_3p chr11 segs:1-31 cds:-:72615060-72615090,0.0,0.0,0.0,0.0
Hsa-Mir-139_5p,741.0,897.0,452.0,388.0
Hsa-Mir-139_5p chr11 segs:1-31 cds:-:72615096-72615126,0.0,0.0,0.0,0.0
Hsa-Mir-140-v1_3p chr16 segs:1-30 cds:+:69933141-69933170,0.0,0.0,0.0,0.0
Hsa-Mir-140-v1_5p* chr16 segs:1-30 cds:+:69933101-69933130,0.0,0.0,0.0,0.0
Hsa-Mir-140-v2_3p chr16 segs:1-31 cds:+:69933140-69933170,0.0,0.0,0.0,0.0
Hsa-Mir-140-v2_5p* chr16 segs:1-31 cds:+:69933101-69933131,0.0,0.0,0.0,0.0
Hsa-Mir-140_3p,5137.0,3297.0,4163.0,1478.0
Hsa-Mir-140_5p*,342.0,223.0,244.0,124.0
Hsa-Mir-142-v1_3p* chr17 segs:1-29 cds:-:58331239-58331267,0.0,0.0,0.0,0.0
Hsa-Mir-142-v1_5p chr17 segs:1-29 cds:-:58331277-58331305,0.0,0.0,0.0,0.0
Hsa-Mir-142-v2_3p chr17 segs:1-30 cds:-:58331239-58331268,0.0,0.0,0.0,0.0
Hsa-Mir-142-v2_5p* chr17 segs:1-30 cds:-:58331276-58331305,0.0,0.0,0.0,0.0
Hsa-Mir-142-v3_3p chr17 segs:1-31 cds:-:58331239-58331269,0.0,0.0,0.0,0.0
Hsa-Mir-142-v3_5p* chr17 segs:1-31 cds:-:58331275-58331305,0.0,0.0,0.0,0.0
Hsa-Mir-142-v4_3p* chr17 segs:1-30 cds:-:58331237-58331266,0.0,0.0,0.0,0.0
Hsa-Mir-142-v4_5p chr17 segs:1-30 cds:-:58331278-58331307,0.0,0.0,0.0,0.0
Hsa-Mir-142_3p*,1728.0,1275.0,1757.0,584.0
Hsa-Mir-142_5p,9543.0,11098.0,15457.0,7135.0
Hsa-Mir-143_3p,175260.0,156686.0,114665.0,82114.0
Hsa-Mir-143_3p chr5 segs:1-29 cds:+:149428976-149429004,0.0,0.0,0.0,0.0
Hsa-Mir-143_5p*,35.0,32.0,16.0,0.0
Hsa-Mir-143_5p* chr5 segs:1-29 cds:+:149428942-149428970,0.0,0.0,0.0,0.0
Hsa-Mir-144_3p*,573.0,3826.0,363.0,663.0
Hsa-Mir-144_3p* chr17 segs:1-29 cds:-:28861542-28861570,0.0,0.0,0.0,0.0
Hsa-Mir-144_5p,404.0,1487.0,205.0,215.0
Hsa-Mir-144_5p chr17 segs:1-31 cds:-:28861576-28861606,0.0,0.0,0.0,0.0
Hsa-Mir-145_3p*,355.0,515.0,226.0,271.0
Hsa-Mir-145_3p* chr5 segs:1-30 cds:+:149430697-149430726,0.0,0.0,0.0,0.0
Hsa-Mir-145_5p,2937.0,2348.0,1149.0,680.0
Hsa-Mir-145_5p chr5 segs:1-31 cds:+:149430659-149430689,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*,11.0,0.0,5.0,0.0
Hsa-Mir-146-P1_3p* chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPA chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_3p*.SNPC chr5 segs:1-31 cds:+:160485405-160485435,0.0,0.0,0.0,0.0
Hsa-Mir-146-P1_5p,2464.0,1980.0,6828.0,1061.0
Hsa-Mir-146-P1_5p chr5 segs:1-31 cds:+:160485370-160485400,0.0,0.0,0.0,0.0
Hsa-Mir-146-P2_3p*,587.0,266.0,128.0,314.0
Hsa-Mir-146-P2_3p* chr10 segs:1-30 cds:+:102436555-102436584,0.0,0.0,0.0,0.0
Hsa-Mir-146-P2_5p,37390.0,20488.0,25094.0,18481.0
Hsa-Mir-146-P2_5p chr10 segs:1-32 cds:+:102436518-102436549,0.0,0.0,0.0,0.0
Hsa-Mir-147-v1_3p chr15 segs:1-30 cds:+:45433096-45433125,0.0,0.0,0.0,0.0
Hsa-Mir-147-v1_5p* chr15 segs:1-31 cds:+:45433058-45433088,0.0,0.0,0.0,0.0
Hsa-Mir-147-v2_3p chr15 segs:1-30 cds:+:45433095-45433124,0.0,0.0,0.0,0.0
Hsa-Mir-147-v2_5p* chr15 segs:1-30 cds:+:45433059-45433088,0.0,0.0,0.0,0.0
Hsa-Mir-147_3p,0.0,7.0,3.0,0.0
Hsa-Mir-147_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-148-P1_3p,641505.0,482251.0,484392.0,301424.0
Hsa-Mir-148-P1_3p chr7 segs:1-30 cds:-:25949916-25949945,0.0,0.0,0.0,0.0
Hsa-Mir-148-P1_5p*,5123.0,4814.0,3650.0,3151.0
Hsa-Mir-148-P1_5p* chr7 segs:1-30 cds:-:25949954-25949983,0.0,0.0,0.0,0.0
Hsa-Mir-148-P2_3p,3053.0,1813.0,2040.0,965.0
Hsa-Mir-148-P2_3p chr17 segs:1-29 cds:-:48037168-48037196,0.0,0.0,0.0,0.0
Hsa-Mir-148-P2_5p*,55.0,38.0,43.0,22.0
Hsa-Mir-148-P2_5p* chr17 segs:1-31 cds:-:48037204-48037234,0.0,0.0,0.0,0.0
Hsa-Mir-148-P3_3p,6161.0,4259.0,4343.0,2647.0
Hsa-Mir-148-P3_3p chr12 segs:1-30 cds:+:54337276-54337305,0.0,0.0,0.0,0.0
Hsa-Mir-148-P3_5p*,258.0,188.0,88.0,110.0
Hsa-Mir-148-P3_5p* chr12 segs:1-32 cds:+:54337237-54337268,0.0,0.0,0.0,0.0
Hsa-Mir-149_3p* chr2 segs:1-30 cds:+:240456053-240456082,0.0,0.0,0.0,0.0
Hsa-Mir-149_5p,103.0,60.0,27.0,38.0
Hsa-Mir-149_5p chr2 segs:1-31 cds:+:240456013-240456043,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1a_3p*,0.0,0.0,4.0,0.0
Hsa-Mir-15-P1a_3p* chr13 segs:1-30 cds:-:50049124-50049153,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1a_5p,2320.0,3513.0,1628.0,1218.0
Hsa-Mir-15-P1a_5p chr13 segs:1-30 cds:-:50049161-50049190,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1b_3p*,70.0,81.0,34.0,17.0
Hsa-Mir-15-P1b_3p* chr3 segs:1-30 cds:+:160404643-160404672,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1b_5p,592.0,876.0,342.0,236.0
Hsa-Mir-15-P1b_5p chr3 segs:1-30 cds:+:160404605-160404634,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_3p* chr17 segs:1-30 cds:-:7017932-7017961,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1c_5p,793.0,807.0,327.0,435.0
Hsa-Mir-15-P1c_5p chr17 segs:1-30 cds:-:7017972-7018001,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1d_3p*,130.0,124.0,78.0,65.0
Hsa-Mir-15-P1d_3p* chrX segs:1-30 cds:-:134546637-134546666,0.0,0.0,0.0,0.0
Hsa-Mir-15-P1d_5p,1655.0,1743.0,1301.0,617.0
Hsa-Mir-15-P1d_5p chrX segs:1-30 cds:-:134546674-134546703,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_3p*,5.0,0.0,0.0,5.0
Hsa-Mir-15-P2a_3p* chr13 segs:1-31 cds:-:50048978-50049008,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_5p chr13 segs:1-30 cds:-:50049021-50049050,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2a_5p/P2b_5p,31049.0,39485.0,22258.0,14859.0
Hsa-Mir-15-P2b_3p*,105.0,288.0,74.0,66.0
Hsa-Mir-15-P2b_3p* chr3 segs:1-31 cds:+:160404794-160404824,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2b_5p chr3 segs:1-31 cds:+:160404752-160404782,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2c_3p*,77.0,45.0,42.0,32.0
Hsa-Mir-15-P2c_3p* chr17 segs:1-31 cds:-:7017621-7017651,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2c_5p,1823.0,2266.0,1313.0,961.0
Hsa-Mir-15-P2c_5p chr17 segs:1-30 cds:-:7017660-7017689,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2d_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2d_3p* chrX segs:1-31 cds:-:134546325-134546355,0.0,0.0,0.0,0.0
Hsa-Mir-15-P2d_5p,0.0,41.0,0.0,19.0
Hsa-Mir-15-P2d_5p chrX segs:1-31 cds:-:134546365-134546395,0.0,0.0,0.0,0.0
Hsa-Mir-150_3p*,10.0,0.0,12.0,5.0
Hsa-Mir-150_3p* chr19 segs:1-29 cds:-:49500792-49500820,0.0,0.0,0.0,0.0
Hsa-Mir-150_5p,1987.0,830.0,1726.0,609.0
Hsa-Mir-150_5p chr19 segs:1-30 cds:-:49500826-49500855,0.0,0.0,0.0,0.0
Hsa-Mir-153-P1_3p chr2 segs:1-30 cds:-:219294120-219294149,0.0,0.0,0.0,0.0
Hsa-Mir-153-P1_3p/P2_3p,31.0,15.0,17.0,14.0
Hsa-Mir-153-P1_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-153-P1_5p* chr2 segs:1-30 cds:-:219294158-219294187,0.0,0.0,0.0,0.0
Hsa-Mir-153-P2_3p chr7 segs:1-30 cds:-:157574343-157574372,0.0,0.0,0.0,0.0
Hsa-Mir-153-P2_5p* chr7 segs:1-31 cds:-:157574381-157574411,0.0,0.0,0.0,0.0
Hsa-Mir-154-P10_3p,66.0,33.0,49.0,0.0
Hsa-Mir-154-P10_3p chr14 segs:1-30 cds:+:101054350-101054379,0.0,0.0,0.0,0.0
Hsa-Mir-154-P10_5p,26.0,17.0,25.0,14.0
Hsa-Mir-154-P10_5p chr14 segs:1-30 cds:+:101054314-101054343,0.0,0.0,0.0,0.0
Hsa-Mir-154-P12_3p,269.0,270.0,129.0,118.0
Hsa-Mir-154-P12_3p chr14 segs:1-29 cds:+:101065959-101065987,0.0,0.0,0.0,0.0
Hsa-Mir-154-P12_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P12_5p* chr14 segs:1-29 cds:+:101065923-101065951,0.0,0.0,0.0,0.0
Hsa-Mir-154-P13_3p*,24.0,21.0,21.0,15.0
Hsa-Mir-154-P13_3p* chr14 segs:1-29 cds:+:101023373-101023401,0.0,0.0,0.0,0.0
Hsa-Mir-154-P13_5p,1816.0,1786.0,1174.0,1039.0
Hsa-Mir-154-P13_5p chr14 segs:1-29 cds:+:101023338-101023366,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p* chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p*.SNPA chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_3p*.SNPC chr14 segs:1-29 cds:+:101065497-101065525,0.0,0.0,0.0,0.0
Hsa-Mir-154-P14_5p,6.0,3.0,10.0,2.0
Hsa-Mir-154-P14_5p chr14 segs:1-31 cds:+:101065463-101065493,0.0,0.0,0.0,0.0
Hsa-Mir-154-P15_3p*,30.0,23.0,18.0,12.0
Hsa-Mir-154-P15_3p* chr14 segs:1-30 cds:+:101055462-101055491,0.0,0.0,0.0,0.0
Hsa-Mir-154-P15_5p,10.0,16.0,8.0,9.0
Hsa-Mir-154-P15_5p chr14 segs:1-31 cds:+:101055425-101055455,0.0,0.0,0.0,0.0
Hsa-Mir-154-P16_3p,12.0,10.0,9.0,10.0
Hsa-Mir-154-P16_3p chr14 segs:1-30 cds:+:101052492-101052521,0.0,0.0,0.0,0.0
Hsa-Mir-154-P16_5p,0.0,0.0,0.0,0.0
Hsa-Mir-154-P16_5p chr14 segs:1-30 cds:+:101052456-101052485,0.0,0.0,0.0,0.0
Hsa-Mir-154-P17_3p,72.0,72.0,31.0,32.0
Hsa-Mir-154-P17_3p chr14 segs:1-30 cds:+:101046503-101046532,0.0,0.0,0.0,0.0
Hsa-Mir-154-P17_5p* chr14 segs:1-30 cds:+:101046467-101046496,0.0,0.0,0.0,0.0
Hsa-Mir-154-P18_3p,50.0,22.0,9.0,9.0
Hsa-Mir-154-P18_3p chr14 segs:1-31 cds:+:101029679-101029709,0.0,0.0,0.0,0.0
Hsa-Mir-154-P18_5p* chr14 segs:1-31 cds:+:101029646-101029676,0.0,0.0,0.0,0.0
Hsa-Mir-154-P19_3p,33.0,12.0,20.0,7.0
Hsa-Mir-154-P19_3p chr14 segs:1-30 cds:+:101033802-101033831,0.0,0.0,0.0,0.0
Hsa-Mir-154-P19_5p*,2.0,0.0,0.0,0.0
Hsa-Mir-154-P19_5p* chr14 segs:1-30 cds:+:101033766-101033795,0.0,0.0,0.0,0.0
Hsa-Mir-154-P1_3p,3.0,0.0,0.0,0.0
Hsa-Mir-154-P1_3p chr14 segs:1-30 cds:+:101059803-101059832,0.0,0.0,0.0,0.0
Hsa-Mir-154-P1_5p,32.0,40.0,17.0,22.0
Hsa-Mir-154-P1_5p chr14 segs:1-30 cds:+:101059767-101059796,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v1_3p chr14 segs:1-30 cds:+:101023830-101023859,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v1_5p* chr14 segs:1-30 cds:+:101023797-101023826,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v2_3p* chr14 segs:1-30 cds:+:101023829-101023858,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2-v2_5p chr14 segs:1-30 cds:+:101023798-101023827,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v1_3p chr14 segs:1-30 cds:+:101060626-101060655,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v1_5p* chr14 segs:1-30 cds:+:101060594-101060623,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v2_3p chr14 segs:1-29 cds:+:101060628-101060656,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20-v2_5p* chr14 segs:1-31 cds:+:101060593-101060623,0.0,0.0,0.0,0.0
Hsa-Mir-154-P20_3p,2.0,0.0,3.0,0.0
Hsa-Mir-154-P20_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P21_3p,45.0,0.0,43.0,32.0
Hsa-Mir-154-P21_3p chr14 segs:1-32 cds:+:101047367-101047398,0.0,0.0,0.0,0.0
Hsa-Mir-154-P21_5p*,5.0,6.0,4.0,0.0
Hsa-Mir-154-P21_5p* chr14 segs:1-32 cds:+:101047327-101047358,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_3p,15.0,13.0,10.0,4.0
Hsa-Mir-154-P22_3p chr14 segs:1-30 cds:+:101032031-101032060,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P22_5p* chr14 segs:1-30 cds:+:101031995-101032024,0.0,0.0,0.0,0.0
Hsa-Mir-154-P23_3p,511.0,753.0,432.0,425.0
Hsa-Mir-154-P23_3p chr14 segs:1-29 cds:+:101040267-101040295,0.0,0.0,0.0,0.0
Hsa-Mir-154-P23_5p*,14.0,10.0,9.0,10.0
Hsa-Mir-154-P23_5p* chr14 segs:1-30 cds:+:101040232-101040261,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_3p,6.0,5.0,5.0,0.0
Hsa-Mir-154-P24_3p chr14 segs:1-30 cds:+:101049608-101049637,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P24_5p* chr14 segs:1-30 cds:+:101049570-101049599,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_3p,14.0,11.0,9.0,4.0
Hsa-Mir-154-P25_3p chr14 segs:1-29 cds:+:101066764-101066792,0.0,0.0,0.0,0.0
Hsa-Mir-154-P25_5p* chr14 segs:1-29 cds:+:101066729-101066757,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_3p,23.0,36.0,15.0,18.0
Hsa-Mir-154-P26_3p chr14 segs:1-30 cds:+:101026069-101026098,0.0,0.0,0.0,0.0
Hsa-Mir-154-P26_5p*,0.0,3.0,0.0,0.0
Hsa-Mir-154-P26_5p* chr14 segs:1-30 cds:+:101026033-101026062,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_3p,202.0,156.0,172.0,113.0
Hsa-Mir-154-P27_3p chr14 segs:1-29 cds:+:101047947-101047975,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P27_5p* chr14 segs:1-30 cds:+:101047909-101047938,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p chr14 segs:1-30 cds:+:101043027-101043056,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_3p/P28b_3p,9.0,12.0,0.0,0.0
Hsa-Mir-154-P28a_5p* chr14 segs:1-30 cds:+:101042989-101043018,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28a_5p*/P28b_5p,15.0,8.0,9.0,11.0
Hsa-Mir-154-P28b_3p chr14 segs:1-30 cds:+:101044248-101044277,0.0,0.0,0.0,0.0
Hsa-Mir-154-P28b_5p chr14 segs:1-30 cds:+:101044210-101044239,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_3p chr14 segs:1-30 cds:+:101030097-101030126,0.0,0.0,0.0,0.0
Hsa-Mir-154-P29_5p* chr14 segs:1-29 cds:+:101030062-101030090,0.0,0.0,0.0,0.0
Hsa-Mir-154-P2_3p,42.0,36.0,34.0,22.0
Hsa-Mir-154-P2_5p,16.0,4.0,20.0,5.0
Hsa-Mir-154-P30_3p,0.0,3.0,5.0,0.0
Hsa-Mir-154-P30_3p chr14 segs:1-29 cds:+:101025618-101025646,0.0,0.0,0.0,0.0
Hsa-Mir-154-P30_5p* chr14 segs:1-29 cds:+:101025583-101025611,0.0,0.0,0.0,0.0
Hsa-Mir-154-P36_3p,665.0,441.0,354.0,240.0
Hsa-Mir-154-P36_3p chr14 segs:1-30 cds:+:101065344-101065373,0.0,0.0,0.0,0.0
Hsa-Mir-154-P36_5p*,4.0,21.0,0.0,8.0
Hsa-Mir-154-P36_5p* chr14 segs:1-31 cds:+:101065312-101065342,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v1_3p chr14 segs:1-29 cds:+:101025780-101025808,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v1_5p* chr14 segs:1-29 cds:+:101025745-101025773,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v2_3p chr14 segs:1-30 cds:+:101025779-101025808,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a-v2_5p* chr14 segs:1-30 cds:+:101025745-101025774,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3a_3p,17.0,22.0,10.0,9.0
Hsa-Mir-154-P3a_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_3p,16.0,0.0,25.0,0.0
Hsa-Mir-154-P3b_3p chr14 segs:1-29 cds:+:101056267-101056295,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p* chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPA chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPB chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0
Hsa-Mir-154-P3b_5p*.SNPC chr14 segs:1-31 cds:+:101056231-101056261,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_3p chr14 segs:1-30 cds:+:101026832-101026861,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_3p/P4b_3p,6.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_5p* chr14 segs:1-32 cds:+:101026794-101026825,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4a_5p*/P4b_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4b_3p chr14 segs:1-30 cds:+:101027149-101027178,0.0,0.0,0.0,0.0
Hsa-Mir-154-P4b_5p* chr14 segs:1-32 cds:+:101027111-101027142,0.0,0.0,0.0,0.0
Hsa-Mir-154-P5_3p,105.0,66.0,50.0,26.0
Hsa-Mir-154-P5_3p chr14 segs:1-29 cds:+:101065639-101065667,0.0,0.0,0.0,0.0
Hsa-Mir-154-P5_5p,34.0,27.0,11.0,9.0
Hsa-Mir-154-P5_5p chr14 segs:1-29 cds:+:101065604-101065632,0.0,0.0,0.0,0.0
Hsa-Mir-154-P6_3p,33.0,14.0,26.0,16.0
Hsa-Mir-154-P6_3p chr14 segs:1-30 cds:+:101062092-101062121,0.0,0.0,0.0,0.0
Hsa-Mir-154-P6_5p,26.0,17.0,13.0,7.0
Hsa-Mir-154-P6_5p chr14 segs:1-30 cds:+:101062054-101062083,0.0,0.0,0.0,0.0
Hsa-Mir-154-P7_3p*,10.0,6.0,8.0,6.0
Hsa-Mir-154-P7_3p* chr14 segs:1-29 cds:+:101022107-101022135,0.0,0.0,0.0,0.0
Hsa-Mir-154-P7_5p,92.0,46.0,100.0,44.0
Hsa-Mir-154-P7_5p chr14 segs:1-29 cds:+:101022069-101022097,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_3p,0.0,2.0,0.0,0.0
Hsa-Mir-154-P8_3p chr14 segs:1-29 cds:+:101025054-101025082,0.0,0.0,0.0,0.0
Hsa-Mir-154-P8_5p,0.0,0.0,0.0,2.0
Hsa-Mir-154-P8_5p chr14 segs:1-30 cds:+:101025018-101025047,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_3p,1212.0,965.0,893.0,628.0
Hsa-Mir-154-P9_3p chr14 segs:1-30 cds:+:101045966-101045995,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_5p*,0.0,0.0,0.0,0.0
Hsa-Mir-154-P9_5p* chr14 segs:1-31 cds:+:101045925-101045955,0.0,0.0,0.0,0.0
Hsa-Mir-155_3p* chr21 segs:1-30 cds:+:25574020-25574049,0.0,0.0,0.0,0.0
Hsa-Mir-155_5p,529.0,305.0,889.0,180.0
Hsa-Mir-155_5p chr21 segs:1-32 cds:+:25573981-25574012,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1a_3p*,121.0,212.0,74.0,73.0
Hsa-Mir-17-P1a_3p* chr13 segs:1-31 cds:+:91350653-91350683,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1a_5p chr13 segs:1-31 cds:+:91350616-91350646,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1a_5p/P1b_5p,1491.0,1806.0,849.0,690.0
Hsa-Mir-17-P1b_3p* chrX segs:1-31 cds:-:134170202-134170232,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1b_5p chrX segs:1-31 cds:-:134170238-134170268,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1c_3p*,21.0,32.0,18.0,12.0
Hsa-Mir-17-P1c_3p* chr7 segs:1-31 cds:-:100093770-100093800,0.0,0.0,0.0,0.0
Hsa-Mir-17-P1c_5p,3117.0,3701.0,1810.0,1274.0
Hsa-Mir-17-P1c_5p chr7 segs:1-31 cds:-:100093809-100093839,0.0,0.0,0.0,0.0
Hsa-Mir-17-P2a_3p*,13.0,17.0,0.0,5.0
Hsa-Mir-17-P2a_3p* chr13 segs:1-31 cds:+:91350795-91350825,0.0,0.0,0.0,0.0
Hsa-Mir-17-P2a_5p,356.0,334.0,164.0,93.0
Hsa-Mir-17-P2a_5p chr13 segs:1-31 cds:+:91350754-91350784,0.0,0.0,0.0,0.0
Hsa-Mir-17-P2b_3p* chrX segs:1-33 cds:-:134170036-134170068,0.0,0.0,0.0,0.0
Hsa-Mir-17-P2b_5p,4.0,16.0,6.0,4.0
Hsa-Mir-17-P2b_5p chrX segs:1-32 cds:-:134170077-134170108,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3a_3p*,14.0,27.0,16.0,7.0
Hsa-Mir-17-P3a_3p* chr13 segs:1-31 cds:+:91351106-91351136,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3a_5p,2888.0,2604.0,1998.0,1103.0
Hsa-Mir-17-P3a_5p chr13 segs:1-31 cds:+:91351070-91351100,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3b_3p* chrX segs:1-31 cds:-:134169806-134169836,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3b_5p,32.0,52.0,13.0,15.0
Hsa-Mir-17-P3b_5p chrX segs:1-31 cds:-:134169844-134169874,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3c_3p,426.0,564.0,306.0,195.0
Hsa-Mir-17-P3c_3p chr7 segs:1-29 cds:-:100093997-100094025,0.0,0.0,0.0,0.0
Hsa-Mir-17-P3c_5p,420.0,691.0,265.0,176.0
Hsa-Mir-17-P3c_5p chr7 segs:1-29 cds:-:100094037-100094065,0.0,0.0,0.0,0.0
